遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.21,0.14,0.56,0.56,-4.2,1.59,2.22,4,52.8,0,0.62
0,-0.3,0.25,1.01,1.01,-5.19,2.33,2.96,5,52.8,0,0.64
0,-0.38,0.34,1.37,1.37,-5.16,2.67,3.33,6,52.8,0,0.66
0,-0.43,0.42,1.7,1.7,-4.15,2.58,3.26,6,52.8,0,0.68
0,-0.45,0.44,1.76,1.76,-2.3,2.03,2.73,5,52.8,0,0.69
0,-0.4,0.44,1.74,1.74,0.07,1.15,1.86,3,52.8,0,0.7
0,-0.32,0.35,1.4,1.4,2.26,0.07,0.78,1,52.8,0,0.71
0,-0.21,0.26,1.05,1.05,3.86,-0.83,-0.13,0,52.8,0,0.7
0,-0.1,0.16,0.66,0.66,4.77,-1.51,-0.82,-1,52.8,0,0.69
0.06,0,0.11,0.42,0.42,4.77,-1.78,-1.1,-2,52.8,0,0.68
0.12,0.07,0.08,0.34,0.34,4.29,-1.69,-1.02,-2,52.8,0,0.67
0.78,0.09,0.4,1.6,1.6,3.3,-0.92,-0.27,0,52.8,0,0.66
0.78,0.07,0.68,2.73,2.73,1.13,0.14,0.8,1,52.8,0,0.66
2.4,0,2.06,8.24,6.83,-1.58,2.83,3.5,7,52.8,0,0.67
3.06,-0.07,2.43,9.73,9.73,-3.4,4.96,5.66,11,52.8,0,0.7
3.3,-0.19,3.43,13.72,13.72,-4.01,7.01,7.76,15,52.8,0,0.75
4.08,-0.24,4.12,16.49,16.49,-4.24,8.26,9.07,18,52.8,0,0.81
4.2,-0.29,4.48,17.94,17.94,-3.58,8.82,9.7,19,52.8,0,0.88
4.86,-0.21,4.94,19.74,19.74,-0.94,8.9,9.84,19,52.8,0,0.94
5.34,-0.08,5.02,20.06,20.06,2.9,7.65,8.66,17,52.8,0,1
5.52,0.14,5.5,22.01,22.01,7.08,6.83,7.89,15,52.8,0,1.06
6.48,0.51,5.93,23.73,23.73,11.73,5.74,6.84,13,52.8,0,1.1
6.72,0.91,6.02,24.07,24.07,16.44,4,5.13,10,52.8,0,1.13
7.68,1.37,6.31,25.23,25.23,21,2.57,3.73,7,52.8,0,1.15
8.22,1.9,6.03,24.14,24.14,25.19,0.43,1.59,3,52.8,0,1.16
8.46,2.52,6.25,25.01,25.01,29.47,-0.96,0.2,0,52.8,0,1.16
9.12,3.19,6.07,24.3,24.3,33.25,-2.81,-1.67,-3,52.8,0,1.14
9.24,3.95,5.68,22.73,22.73,37.34,-5.05,-3.94,-7,52.8,0,1.11
9.6,4.7,5.3,21.21,21.21,40.62,-7.14,-6.09,-12,52.8,0,1.05
