遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,0.38,-0.43,-1.09,-1.09,-0.55,-0.85,1.62,3,57.9,0,2.47
0,0.23,-0.3,-0.76,-0.76,-3.76,0.59,3.06,6,57.9,0,2.47
0,0.07,-0.16,-0.4,-0.4,-5.8,1.83,4.32,8,57.9,0,2.5
0,-0.08,0.02,0.04,0.04,-6.76,2.57,5.1,10,57.9,0,2.53
0,-0.2,0.17,0.42,0.42,-6.56,2.91,5.49,10,57.9,0,2.58
0,-0.23,0.24,0.59,0.59,-4.86,2.58,5.19,10,57.9,0,2.62
0,-0.2,0.21,0.52,0.52,-2.26,1.68,4.32,8,57.9,0,2.64
0,-0.07,0.14,0.36,0.36,0.98,0.41,3.06,6,57.9,0,2.66
0,0.09,0,0.01,0.01,4.14,-1.03,1.61,3,57.9,0,2.65
0,0.25,-0.17,-0.42,-0.42,6.67,-2.37,0.24,0,57.9,0,2.62
0,0.42,-0.34,-0.84,-0.84,8.22,-3.37,-0.8,-1,57.9,0,2.57
0,0.55,-0.5,-1.24,-1.24,8.5,-3.91,-1.4,-2,57.9,0,2.51
0,0.64,-0.61,-1.53,-1.53,7.58,-3.88,-1.43,-2,57.9,0,2.45
0,0.73,-0.71,-1.76,-1.76,5.75,-3.4,-1,-1,57.9,0,2.4
0,0.71,-0.73,-1.82,-1.82,3.1,-2.56,-0.2,0,57.9,0,2.36
0,0.64,-0.67,-1.66,-1.66,-0.09,-1.25,1.09,2,57.9,0,2.33
0,0.47,-0.55,-1.37,-1.37,-3,0.05,2.38,4,57.9,0,2.33
0,0.31,-0.41,-1.01,-1.01,-5.85,1.42,3.77,7,57.9,0,2.35
0,0.14,-0.26,-0.65,-0.65,-6.74,2.35,4.73,9,57.9,0,2.38
0,0.03,-0.08,-0.19,-0.19,-6.86,2.65,5.07,10,57.9,0,2.42
0,-0.04,0.01,0.02,0.02,-5.62,2.61,5.06,10,57.9,0,2.46
0,-0.05,0.05,0.14,0.14,-3.29,1.85,4.33,8,57.9,0,2.49
