遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,-3.92,3.79,1.89,1.89,-7.74,7.79,29.83,56,26.4,22.04
0,-4.16,4.04,2.02,2.02,-11.54,11.69,34.78,61,26.4,23.1
0,-4.5,4.34,2.17,2.17,-14.59,15.32,34.7,61,26.4,19.37
0,-4.89,4.68,2.34,2.34,-17.05,18.26,34.26,60,26.4,16
0,-5.28,5.08,2.54,2.54,-18.66,20.48,31.21,57,26.4,10.73
0,-5.6,5.44,2.72,2.72,-19.36,21.91,28.23,54,26.4,6.32
0,-5.91,5.76,2.88,2.88,-18.08,21.89,17.7,35,26.4,-4.19
0,-6.07,6,3,3,-14.31,19.53,0.86,1,26.4,-18.67
0,-6.1,6.08,3.04,3.04,-8.26,14.54,-19.21,-38,26.4,-33.75
0,-6.04,6.08,3.04,3.04,-1.85,7.96,-32.11,-58,26.4,-40.07
0,-5.94,6,3,3,2.88,2.26,-28.84,-55,26.4,-31.1
0,-5.82,5.91,2.96,2.96,5.49,-1.56,-21.26,-42,26.4,-19.7
0,-5.73,5.79,2.89,2.89,5.77,-2.96,-7.31,-14,26.4,-4.35
0,-5.73,5.74,2.87,2.87,4.19,-2.37,4.08,8,26.4,6.45
0,-5.81,5.76,2.88,2.88,1,0.16,17.7,35,26.4,17.55
0,-5.92,5.85,2.92,2.92,-2.57,3.75,25.62,51,26.4,21.88
0,-6.11,6.02,3.01,3.01,-5.87,7.25,27.29,53,26.4,20.03
0,-6.36,6.24,3.12,3.12,-9.04,10.58,29.7,56,26.4,19.12
0,-6.61,6.47,3.24,3.24,-11.64,13.72,31,57,26.4,17.28
0,-6.92,6.76,3.38,3.38,-13.29,15.93,26.8,53,26.4,10.87
0,-7.24,7.08,3.54,3.54,-14.37,17.46,24.98,49,26.4,7.53
0,-7.5,7.38,3.69,3.69,-14.22,18.2,19.91,39,26.4,1.72
0,-7.64,7.58,3.79,3.79,-12.15,17.2,7.56,15,26.4,-9.64
0,-7.74,7.69,3.84,3.84,-8.56,14.36,-5.3,-10,26.4,-19.65
0,-7.71,7.74,3.87,3.87,-4.26,10.3,-15.2,-30,26.4,-25.51
0,-7.65,7.69,3.84,3.84,-0.26,5.98,-19.55,-39,26.4,-25.52
0,-7.57,7.62,3.81,3.81,1.99,2.67,-14.15,-28,26.4,-16.81
0,-7.54,7.56,3.78,3.78,2.25,1.44,-2.81,-5,26.4,-4.25
0,-7.57,7.55,3.78,3.78,0.78,2.06,8.44,16,26.4,6.38
0,-7.69,7.61,3.81,3.81,-2.16,4.33,20.07,40,26.4,15.73
0,-7.91,7.78,3.89,3.89,-6.02,7.91,30.2,56,26.4,22.29
0,-8.16,8.01,4.01,4.01,-9.95,12.05,36.31,62,26.4,24.26
0,-8.47,8.31,4.16,4.16,-13.33,15.86,36.96,63,26.4,21.1
0,-8.86,8.66,4.33,4.33,-16.38,19.2,37.76,64,26.4,18.56
0,-9.28,9.07,4.54,4.54,-18.88,22.3,38.89,65,26.4,16.59
0,-9.68,9.51,4.75,4.75,-19.97,24.39,33.49,59,26.4,9.1
0,-9.94,9.83,4.91,4.91,-18.61,24.62,21.41,42,26.4,-3.2
0,-10.11,10.03,5.01,5.01,-14.22,21.69,-1.58,-3,26.4,-23.27
0,-10.26,10.18,5.09,5.09,-9.25,16.73,-14.24,-28,26.4,-30.97
0,-10.42,10.36,5.18,5.18,-6.18,12.55,-10.05,-20,26.4,-22.6
0,-10.55,10.5,5.25,5.25,-5.78,10.95,5.26,10,26.4,-5.69
0,-10.74,10.65,5.33,5.33,-7.01,11.57,17.08,34,26.4,5.51
0,-10.98,10.84,5.42,5.42,-9.16,13.42,25.22,50,26.4,11.8
0,-11.28,11.12,5.56,5.56,-12.21,16.12,32.94,59,26.4,16.83
0,-11.69,11.48,5.74,5.74,-16.04,19.8,42.05,68,26.4,22.25
0,-12.18,11.92,5.96,5.96,-20.27,24.05,48.66,75,26.4,24.6
0,-12.75,12.45,6.23,6.23,-25.08,28.87,57.34,83,26.4,28.47
0,-13.25,13.02,6.51,6.51,-28.82,33.76,59.88,86,26.4,26.12
0,-13.58,13.37,6.69,6.69,-29.03,36.17,44.07,70,26.4,7.9
0,-13.87,13.76,6.88,6.88,-24.76,34.28,14.65,29,26.4,-19.62
0,-14.22,14.03,7.01,7.01,-18.92,28.73,-7.83,-15,26.4,-36.55
0,-14.61,14.44,7.22,7.22,-15.37,24.01,-1.54,-3,26.4,-25.55
0,-14.96,14.84,7.42,7.42,-14.07,21.92,11.41,22,26.4,-10.5
0,-15.19,15.06,7.53,7.53,-13.8,21.41,19.18,38,26.4,-2.23
0,-15.54,15.34,7.67,7.67,-14.61,21.65,23.78,47,26.4,2.13
0,-16.05,15.78,7.89,7.89,-18.08,23.8,39.39,65,26.4,15.59
0,-16.78,16.39,8.19,8.19,-25.04,29.36,66.32,92,26.4,36.96
0,-17.65,17.19,8.6,8.6,-34.06,38.04,90.94,117,26.4,52.89
0,-18.71,18.17,9.09,9.09,-43.08,47.78,103.32,129,26.4,55.54
0,-19.62,19.04,9.52,9.52,-49.62,56.33,101.11,127,26.4,44.78
0,-19.82,19.99,9.99,9.99,-51.25,61.24,80.83,107,26.4,19.59
0,-20.24,20.06,10.03,10.03,-45.19,59.32,35.83,62,26.4,-23.5
0,-20.7,20.44,10.22,10.22,-32.56,49.49,-21.49,-42,26.4,-70.98
